ID_CLIENT,CIBLE,TYPE_CONTRAT,GENRE,PROPRIETAIRE_VOITURE,PROPRIETAIRE_BIEN_IMMO,NBR_ENFANTS,REVENU_TOTAL,MONTANT_CREDIT,MONTANT_ANNUITE,MONTANT_BIENS,TYPE_REVENUS,NIVEAU_EDUCATION,STATUT_FAMILIAL,TYPE_LOGEMENT,JOURS_ENREGISTREMENT,JOURS_ID_PUBLICATION,FLAG_MOBILE,FLAG_TELEPHONE_PRO,FLAG_TELEPHONE_TRAVAIL,FLAG_TELEPHONE,FLAG_EMAIL,NBR_MEMBRES_FAMILLE,SOURCE_EXTERNE_2,JOURS_DERNIER_CHANGEMENT_TEL,TYPE_ENTREPRISE,HEURE_DEMANDE,JOUR_DEMANDE,DEMANDES_CREDIT,ACCOMPAGNANT_DEMANDE,AGE,ANNEES_EMPLOI,SCORE_CONTACT,RATIO_ENFANTS_FAMILLE,DUREE_CREDIT_MOIS,DELAI_TRAITEMENT_DOSSIER,TRAITEMENT_DOSSIER_GROUPE,TRAITEMENT_DOSSIER_SIMPLIFIE,EMPLOI_TYPE
101392,0,Cash loans,F,Y,Y,0,81000.0,573628.5,24435.0,463500.0,Working,Higher education,Civil marriage,House / apartment,-793.0,-3136,1,1,0,0,0,2.0,0.3968247749007724,-879.0,Business Entity Type 3,15,THURSDAY,1.0,Unaccompanied,54.3,2,1,0.0,23.0,2343.0,120j+,Long,Expérience Faible
435135,0,Cash loans,F,N,N,0,112500.0,298512.0,19948.5,270000.0,Working,Higher education,Single / not married,House / apartment,-790.0,-877,1,1,1,0,0,1.0,0.3853532616744645,-565.0,Other,14,WEDNESDAY,1.0,Unaccompanied,25.2,2,2,0.0,15.0,87.0,60-120j,Long,Expérience Faible
341153,1,Cash loans,F,N,Y,0,90000.0,1006920.0,42790.5,900000.0,Working,Secondary / secondary special,Married,House / apartment,-1383.0,-5189,1,1,0,0,0,2.0,0.4444425697060858,-1504.0,Trade: type 3,8,SATURDAY,3.0,Unaccompanied,44.0,0,1,0.0,24.0,3806.0,120j+,Long,Sans emploi
401501,0,Cash loans,M,Y,Y,1,180000.0,364896.0,31347.0,315000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-2835.0,-4586,1,1,0,0,0,3.0,0.6796311915690905,-630.0,Business Entity Type 3,13,TUESDAY,5.0,Unaccompanied,37.6,14,1,0.3333333333333333,12.0,1751.0,120j+,Long,Expérience Moyenne
341989,0,Revolving loans,F,N,Y,1,135000.0,405000.0,20250.0,405000.0,Working,Secondary / secondary special,Married,House / apartment,-1336.0,-3118,1,1,0,0,0,3.0,0.4829845437730775,0.0,Other,14,MONDAY,3.0,Unaccompanied,31.5,4,1,0.3333333333333333,20.0,1782.0,120j+,Long,Expérience Faible
181619,0,Cash loans,M,N,N,0,135000.0,180000.0,16785.0,180000.0,Pensioner,Higher education,Married,House / apartment,-3116.0,-4621,1,0,0,1,0,2.0,0.7472264496444061,-112.0,XNA,14,WEDNESDAY,0.0,Unaccompanied,58.8,0,1,0.0,11.0,1505.0,120j+,Long,Retraité
436648,0,Cash loans,F,N,Y,0,135000.0,363190.5,28822.5,328500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-4420.0,-4805,1,0,0,0,0,2.0,0.1577579508247989,-404.0,XNA,10,SATURDAY,0.0,Unaccompanied,58.3,0,0,0.0,13.0,385.0,120j+,Long,Retraité
197628,0,Cash loans,F,N,Y,0,90000.0,251091.0,27171.0,238500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-4578.0,-4588,1,0,0,0,0,2.0,0.1942151121136184,-111.0,XNA,8,MONDAY,1.0,Unaccompanied,60.7,0,0,0.0,9.0,10.0,<15j,Court,Retraité
141581,0,Cash loans,F,N,Y,1,45000.0,254700.0,17019.0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-139.0,-3136,1,1,0,0,0,3.0,0.2343550086100275,-56.0,Services,11,MONDAY,1.0,Family,30.1,2,1,0.3333333333333333,15.0,2997.0,120j+,Long,Expérience Faible
227220,0,Cash loans,F,N,Y,0,112500.0,197820.0,14917.5,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-2304.0,-4327,1,0,0,0,0,2.0,0.3512939648635285,-290.0,XNA,12,TUESDAY,1.0,Unaccompanied,62.1,0,0,0.0,13.0,2023.0,120j+,Long,Retraité
